current ,temperature,vibration
2.1729,35.25,3.4469
2.1612,35.25,2.8234
2.1558,35.25,3.1274
2.1708,35.25,3.22
2.1657,35.31,3.2778
2.1598,35.31,2.794
2.1626,35.31,2.7056
2.1587,35.31,2.5994
2.1644,35.25,2.975
2.1535,35.31,2.6789
2.1519,35.25,3.2364
2.1565,35.25,3.4086
2.1558,35.25,2.5533
2.1575,35.25,3.0853
2.1604,35.19,2.9188
2.1548,35.25,2.6109
2.168,35.25,3.3526
2.155,35.31,3.3259
2.1719,35.31,2.941
2.1579,35.38,2.9771
2.1675,35.38,2.6926
2.1666,35.44,3.058
2.1462,35.5,3.1039
2.1626,35.5,2.9839
2.1571,35.5,3.1354
2.1603,35.5,3.0422
2.1488,35.5,3.3889
2.173,35.5,3.0969
2.1567,35.5,2.9445
2.1443,35.5,2.9907
2.1686,35.56,2.4669
2.1502,35.63,3.4256
2.1631,35.63,2.6635
2.1394,35.63,3.0577
2.1473,35.56,2.4928
2.1399,35.63,2.8266
2.1537,35.63,3.1847
2.1591,35.69,3.5016
2.1427,35.75,3.103
2.1529,35.75,3.1582
2.1455,35.75,2.8118
2.1502,35.69,3.2273
2.158,35.69,2.7621
2.1459,35.75,3.1889
2.1496,35.75,2.9336
2.1571,35.75,3.2285
2.1502,35.75,3.2005
2.1503,35.75,3.1757
2.1541,35.75,2.7045
2.1469,35.75,3.0901
2.1435,35.69,2.9939
2.143,35.69,3.1435
2.1565,35.63,3.0865
2.1305,35.69,3.5226
2.1286,35.69,2.6643
2.1165,35.63,3.2053
2.1238,35.63,3.0933
2.1512,35.56,2.5613
2.1366,35.5,3.1769
2.1433,35.5,3.0148
2.1398,35.5,3.1342
2.1288,35.5,2.8196
2.1442,35.5,2.7598
2.1311,35.5,3.1773
2.1305,35.5,2.7854
2.1398,35.5,2.988
2.1454,35.5,3.3599
2.1442,35.56,2.9005
2.1384,35.56,2.5742
2.1441,35.56,2.8678
2.1287,35.56,2.7217
2.1407,35.5,2.9966
2.1507,35.5,2.806
2.1539,35.5,3.024
2.1346,35.44,3.1336
2.14,35.44,2.4608
2.1415,35.44,3.108
2.1351,35.44,2.7802
2.1391,35.44,3.3775
2.1385,35.38,2.5363
2.1392,35.38,3.2156
2.1385,35.38,3.0204
2.141,35.31,3.2469
2.1416,35.31,3.0277
2.1368,35.25,3.0638
2.1344,35.25,2.6313
2.147,35.31,2.7892
2.143,35.31,3.431
2.1417,35.31,3.2557
2.1328,35.31,3.0326
2.152,35.38,3.1318
2.1258,35.38,3.0158
2.137,35.38,3.007
2.1347,35.44,2.6785
2.1383,35.44,2.8285
2.1402,35.44,2.6808
1.9059,25.31,3.1427
1.9684,25.31,2.9668
1.9127,25.31,2.7182
1.9053,25.37,2.7228
1.9316,25.37,3.2913
1.9784,25.44,3.4786
1.9923,25.5,3.5535
2.0029,25.62,3.0833
2.003,25.75,2.7112
1.9823,25.87,2.7312
1.9451,26,2.3212
2.0042,26.12,3.2488
2.0098,26.31,2.8055
2.0243,26.5,2.7816
2.0465,26.62,3.2825
2.0342,26.81,3.0781
